Adresse,Ville,Arrondissement,Type,Prix (€),Prix mensuel (€),Pièce(s),Surface (m2),Date de vente
46 RUE DES DAMES,PARIS,75017,Appartement,220000,6471,1,34,13/09/2019
72 RUE MARCADET,PARIS,75018,Appartement,226000,9826,1,23,30/06/2023
70 RUE DE CLIGNANCOURT,PARIS,75018,Appartement,360000,8571,2,42,29/06/2023
76 RUE MARCADET,PARIS,75018,Appartement,82000,10250,1,8,29/06/2023
14 PASSAGE RAMEY,PARIS,75018,Appartement,211510,8813,1,24,29/06/2023
38 RUE LABAT,PARIS,75018,Appartement,496000,8267,2,60,21/06/2023
57 RUE RAMEY,PARIS,75018,Appartement,460000,9020,3,51,21/06/2023
81 RUE MARCADET,PARIS,75018,Appartement,161500,10094,1,16,15/06/2023
14 PASSAGE RAMEY,PARIS,75018,Appartement,180000,7500,1,24,07/06/2023
36 RUE LABAT,PARIS,75018,Appartement,606300,10827,3,56,07/06/2023
80 RUE MARCADET,PARIS,75018,Appartement,289000,9966,2,29,06/06/2023
46 RUE LABAT,PARIS,75018,Appartement,298000,8054,1,37,01/06/2023
37 RUE LABAT,PARIS,75018,Appartement,520000,10612,2,49,22/05/2023
76 RUE MARCADET,PARIS,75018,Appartement,3000,48,3,62,19/04/2023
81 RUE MARCADET,PARIS,75018,Appartement,581000,10564,3,55,18/04/2023
81 RUE MARCADET,PARIS,75018,Appartement,334300,10784,1,31,18/04/2023
38 RUE RAMEY,PARIS,75018,Appartement,91000,9100,1,10,11/04/2023
11B PASSAGE RAMEY,PARIS,75018,Appartement,167500,9306,1,18,07/04/2023
36 RUE LABAT,PARIS,75018,Appartement,360400,6436,3,56,05/04/2023
73 RUE DE CLIGNANCOURT,PARIS,75018,Appartement,260000,5652,2,46,24/03/2023
51 RUE RAMEY,PARIS,75018,Appartement,493000,9860,3,50,22/03/2023
38 RUE RAMEY,PARIS,75018,Appartement,222000,10571,2,21,20/03/2023
38 RUE RAMEY,PARIS,75018,Appartement,263000,5157,2,51,20/03/2023
54 RUE LABAT,PARIS,75018,Appartement,280000,10000,2,28,08/03/2023
12 RUE LÉCUYER,PARIS,75018,Appartement,132000,7333,1,18,01/03/2023
1B RUE LÉCUYER,PARIS,75018,Appartement,620000,9254,2,67,20/02/2023
69 RUE MARCADET,PARIS,75018,Appartement,296000,11840,1,25,17/02/2023
65 RUE MARCADET,PARIS,75018,Appartement,156000,8667,1,18,15/02/2023
37 RUE LABAT,PARIS,75018,Appartement,163470,11676,1,14,14/02/2023
37 RUE LABAT,PARIS,75018,Appartement,214420,8577,1,25,09/02/2023
78 RUE MARCADET,PARIS,75018,Appartement,527100,11980,2,44,02/02/2023
38 RUE RAMEY,PARIS,75018,Appartement,225000,11250,1,20,23/01/2023
80 RUE MARCADET,PARIS,75018,Appartement,288800,9025,2,32,23/01/2023
36 RUE RAMEY,PARIS,75018,Appartement,288000,9931,2,29,20/01/2023
36 RUE RAMEY,PARIS,75018,Appartement,683850,11591,3,59,17/01/2023
79 RUE MARCADET,PARIS,75018,Appartement,229500,11475,1,20,16/01/2023
38 RUE RAMEY,PARIS,75018,Appartement,363000,8067,2,45,21/12/2022
82 RUE MARCADET,PARIS,75018,Appartement,477900,10620,3,45,05/12/2022
38 RUE RAMEY,PARIS,75018,Appartement,290000,11600,2,25,15/11/2022
38 RUE RAMEY,PARIS,75018,Appartement,455000,15167,2,30,14/11/2022
79 RUE MARCADET,PARIS,75018,Appartement,539500,11989,2,45,03/11/2022
70 RUE DE CLIGNANCOURT,PARIS,75018,Appartement,230000,10000,1,23,03/11/2022
87 RUE DE CLIGNANCOURT,PARIS,75018,Appartement,145000,10357,1,14,02/11/2022
14 PASSAGE RAMEY,PARIS,75018,Appartement,245000,9423,1,26,28/10/2022
54 RUE LABAT,PARIS,75018,Appartement,10000,625,1,16,26/10/2022
81 RUE MARCADET,PARIS,75018,Appartement,270000,9643,1,28,20/10/2022
50 RUE LABAT,PARIS,75018,Appartement,346000,10812,1,32,10/10/2022
78 RUE MARCADET,PARIS,75018,Appartement,250000,10870,1,23,21/09/2022
38 RUE RAMEY,PARIS,75018,Appartement,730900,10909,4,67,21/09/2022
38 RUE RAMEY,PARIS,75018,Appartement,569600,12658,3,45,13/09/2022
81 RUE DE CLIGNANCOURT,PARIS,75018,Appartement,237000,8778,2,27,13/09/2022
35 RUE RAMEY,PARIS,75018,Appartement,275750,10213,2,27,12/09/2022
44 RUE RAMEY,PARIS,75018,Appartement,363000,10371,2,35,06/09/2022
76 RUE MARCADET,PARIS,75018,Appartement,197000,10368,1,19,01/09/2022
57 RUE RAMEY,PARIS,75018,Appartement,480500,11174,3,43,29/08/2022
44 RUE RAMEY,PARIS,75018,Appartement,1000,17,2,60,25/08/2022
40 RUE RAMEY,PARIS,75018,Appartement,515520,12574,3,41,02/08/2022
79 RUE MARCADET,PARIS,75018,Appartement,265000,13947,1,19,01/08/2022
79 RUE MARCADET,PARIS,75018,Appartement,580000,10175,3,57,27/07/2022
69 RUE MARCADET,PARIS,75018,Appartement,326100,13044,1,25,21/07/2022
78 RUE MARCADET,PARIS,75018,Appartement,177500,9861,1,18,21/07/2022
11 PASSAGE RAMEY,PARIS,75018,Appartement,191000,10611,1,18,20/07/2022
46 RUE CUSTINE,PARIS,75018,Appartement,1180000,11456,3,103,06/07/2022
72 RUE MARCADET,PARIS,75018,Appartement,267800,9919,2,27,04/07/2022
81 RUE DE CLIGNANCOURT,PARIS,75018,Appartement,462050,10745,1,43,29/06/2022
38 RUE RAMEY,PARIS,75018,Maison,184038,10826,1,17,20/06/2022
78 RUE MARCADET,PARIS,75018,Appartement,126280,12628,1,10,14/06/2022
79 RUE MARCADET,PARIS,75018,Appartement,665000,11466,3,58,13/06/2022
74 RUE MARCADET,PARIS,75018,Appartement,390000,11143,2,35,08/06/2022
6 IMPASSE PERS,PARIS,75018,Appartement,452000,10273,2,44,24/05/2022
74 RUE MARCADET,PARIS,75018,Appartement,315000,9844,2,32,23/05/2022
44 RUE RAMEY,PARIS,75018,Appartement,639400,10482,2,61,20/05/2022
6 IMPASSE PERS,PARIS,75018,Appartement,380000,11875,2,32,20/05/2022
6 IMPASSE PERS,PARIS,75018,Appartement,368500,12283,2,30,20/05/2022
6 IMPASSE PERS,PARIS,75018,Appartement,380000,12667,2,30,20/05/2022
68 RUE DE CLIGNANCOURT,PARIS,75018,Appartement,495000,10761,3,46,17/05/2022
8 RUE LÉCUYER,PARIS,75018,Appartement,431900,11366,2,38,17/05/2022
47 RUE RAMEY,PARIS,75018,Maison,520000,10400,1,50,13/05/2022
44 RUE RAMEY,PARIS,75018,Appartement,368500,11887,2,31,12/05/2022
11 RUE SIMART,PARIS,75018,Appartement,208020,13001,1,16,05/05/2022
40 RUE RAMEY,PARIS,75018,Appartement,450000,10000,2,45,27/04/2022
12 RUE LÉCUYER,PARIS,75018,Appartement,230000,10000,2,23,22/04/2022
70 RUE MARCADET,PARIS,75018,Appartement,359939,10284,2,35,15/04/2022
68 RUE MARCADET,PARIS,75018,Appartement,500120,17246,2,29,14/04/2022
44 RUE RAMEY,PARIS,75018,Appartement,610000,11509,2,53,06/04/2022
70 RUE DE CLIGNANCOURT,PARIS,75018,Appartement,432450,10296,2,42,25/03/2022
36 RUE RAMEY,PARIS,75018,Appartement,340000,11333,2,30,23/03/2022
65 RUE MARCADET,PARIS,75018,Appartement,270000,7297,2,37,21/03/2022
69 RUE MARCADET,PARIS,75018,Appartement,236000,9077,2,26,10/03/2022
35 RUE RAMEY,PARIS,75018,Appartement,298000,10643,2,28,03/03/2022
54 RUE LABAT,PARIS,75018,Appartement,485000,11279,3,43,01/03/2022
12 PASSAGE RAMEY,PARIS,75018,Appartement,744000,10629,3,70,25/02/2022
7 RUE DE THIONVILLE,PARIS,75019,Appartement,227800,9112,1,25,30/06/2023
1 RUE GERMAINE TAILLEFERRE,PARIS,75019,Appartement,482275,6607,2,73,29/06/2023
6 RUE JOSEPH KOSMA,PARIS,75019,Appartement,375000,8523,2,44,27/06/2023
13 RUE DES ARDENNES,PARIS,75019,Appartement,379750,8255,2,46,22/06/2023
6 VILLA TOCCATA,PARIS,75019,Appartement,286150,7734,2,37,22/06/2023
14 RUE DE THIONVILLE,PARIS,75019,Appartement,500000,6494,3,77,09/06/2023
6 RUE JOSEPH KOSMA,PARIS,75019,Appartement,625000,8333,4,75,08/06/2023
14 RUE DE THIONVILLE,PARIS,75019,Appartement,472000,6130,3,77,25/05/2023
17 RUE LÉON GIRAUD,PARIS,75019,Appartement,751000,7905,4,95,25/05/2023
6 VILLA TOCCATA,PARIS,75019,Appartement,316500,8554,2,37,24/05/2023
14 RUE DE THIONVILLE,PARIS,75019,Appartement,575000,8099,4,71,23/05/2023
6 VILLA TOCCATA,PARIS,75019,Appartement,420000,9130,2,46,23/05/2023
6 VILLA TOCCATA,PARIS,75019,Appartement,788000,10795,4,73,17/05/2023
14 RUE DE THIONVILLE,PARIS,75019,Appartement,26000,317,5,82,16/05/2023
6 RUE JOSEPH KOSMA,PARIS,75019,Appartement,240000,8276,1,29,05/05/2023
6 VILLA TOCCATA,PARIS,75019,Appartement,235000,9400,1,25,02/05/2023
16 QUAI DE LA MARNE,PARIS,75019,Appartement,300100,8336,1,36,28/04/2023
6 VILLA TOCCATA,PARIS,75019,Appartement,567307,8864,3,64,28/04/2023
13 RUE LÉON GIRAUD,PARIS,75019,Appartement,625000,7267,3,86,18/04/2023
20 QUAI DE LA MARNE,PARIS,75019,Appartement,407000,6898,3,59,15/03/2023
13 RUE LÉON GIRAUD,PARIS,75019,Appartement,102000,9273,1,11,15/03/2023
16 QUAI DE LA MARNE,PARIS,75019,Appartement,261500,7264,1,36,08/03/2023
6 VILLA TOCCATA,PARIS,75019,Appartement,275000,9167,1,30,07/03/2023
14 RUE DE THIONVILLE,PARIS,75019,Appartement,480000,8276,3,58,16/02/2023
20 QUAI DE LA MARNE,PARIS,75019,Appartement,437500,7955,3,55,08/02/2023
14 RUE DE THIONVILLE,PARIS,75019,Appartement,595000,7727,3,77,06/02/2023
13 RUE LÉON GIRAUD,PARIS,75019,Appartement,190000,7037,2,27,03/02/2023
13 RUE LÉON GIRAUD,PARIS,75019,Appartement,105000,4038,2,26,30/01/2023
13 RUE LÉON GIRAUD,PARIS,75019,Appartement,105000,4038,2,26,30/01/2023
6 VILLA TOCCATA,PARIS,75019,Appartement,260000,9286,1,28,27/01/2023
2 RUE JOSEPH KOSMA,PARIS,75019,Appartement,722750,8708,4,83,28/12/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,292940,10462,1,28,28/12/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,254700,10188,1,25,21/12/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,295000,10536,1,28,20/12/2022
16 QUAI DE LA MARNE,PARIS,75019,Appartement,338500,9403,1,36,20/12/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,276400,9871,1,28,19/12/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,265000,9464,1,28,16/12/2022
6 RUE JOSEPH KOSMA,PARIS,75019,Appartement,365000,8295,2,44,16/12/2022
16 QUAI DE LA MARNE,PARIS,75019,Appartement,167500,7614,1,22,01/12/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,263658,4469,3,59,28/11/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,261960,9702,1,27,25/11/2022
3 RUE GERMAINE TAILLEFERRE,PARIS,75019,Appartement,238945,9190,1,26,24/11/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,707000,10397,3,68,04/11/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,271500,9696,1,28,04/11/2022
2 RUE JOSEPH KOSMA,PARIS,75019,Appartement,501800,9650,2,52,21/10/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,705000,9400,4,75,12/10/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,60000,923,3,65,30/09/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,576000,9290,3,62,28/09/2022
17B RUE DE THIONVILLE,PARIS,75019,Appartement,740000,11562,3,64,27/09/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,331753,7715,2,43,23/09/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,600000,9677,3,62,21/09/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,409420,8356,2,49,19/09/2022
20 RUE DE L'OURCQ,PARIS,75019,Appartement,415000,10122,2,41,16/09/2022
17 RUE LÉON GIRAUD,PARIS,75019,Appartement,238000,8500,1,28,09/09/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,360000,8571,2,42,08/09/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,304400,11708,1,26,02/09/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,255000,9444,1,27,02/09/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,670000,8816,4,76,30/08/2022
17 RUE LÉON GIRAUD,PARIS,75019,Appartement,515000,6959,3,74,26/08/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,252200,10088,1,25,24/08/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,249000,8586,1,29,12/08/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,597000,9476,3,63,11/08/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,458980,9978,2,46,11/08/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,918000,7983,7,115,03/08/2022
16 QUAI DE LA MARNE,PARIS,75019,Appartement,84730,1541,2,55,02/08/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,663000,10359,3,64,29/07/2022
17 RUE LÉON GIRAUD,PARIS,75019,Appartement,241850,8638,1,28,26/07/2022
20 RUE DE L'OURCQ,PARIS,75019,Appartement,424000,10095,2,42,26/07/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,692500,8445,4,82,25/07/2022
13 RUE LÉON GIRAUD,PARIS,75019,Appartement,290500,7645,2,38,25/07/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,413500,7518,2,55,13/07/2022
6 VILLA TOCCATA,PARIS,75019,Appartement,409000,11054,2,37,11/07/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,582500,9395,3,62,04/07/2022
22 RUE DES ARDENNES,PARIS,75019,Appartement,589000,9349,3,63,15/06/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,454650,8266,2,55,07/06/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,550000,8730,3,63,02/06/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,843688,10546,4,80,01/06/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,400000,5000,4,80,31/05/2022
16 RUE DE L'OURCQ,PARIS,75019,Appartement,638000,9382,3,68,18/05/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,525000,9545,3,55,12/05/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,605000,10431,3,58,02/05/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,325000,7558,2,43,26/04/2022
16 QUAI DE LA MARNE,PARIS,75019,Appartement,175000,7955,1,22,31/03/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,401886,8737,2,46,31/03/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,463000,8418,2,55,29/03/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,230000,8519,1,27,21/03/2022
21 RUE TANDOU,PARIS,75019,Appartement,458150,9545,3,48,08/03/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,598000,10136,3,59,03/03/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,476400,8358,2,57,10/02/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,270000,9643,1,28,09/02/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,490000,7424,3,66,04/02/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,292000,10815,1,27,28/01/2022
20 QUAI DE LA MARNE,PARIS,75019,Appartement,589300,9988,3,59,28/01/2022
13 RUE LÉON GIRAUD,PARIS,75019,Appartement,186000,10333,1,18,21/01/2022
14 RUE DE THIONVILLE,PARIS,75019,Appartement,260000,9630,1,27,23/12/2021
14 RUE DE THIONVILLE,PARIS,75019,Appartement,700000,6087,6,115,16/12/2021
14 RUE DE THIONVILLE,PARIS,75019,Appartement,434500,7491,3,58,09/12/2021
65 AVENUE GAMBETTA,PARIS,75020,Appartement,670000,12885,3,52,30/06/2023
11 RUE DU CHER,PARIS,75020,Appartement,323000,8500,2,38,27/06/2023
3 PLACE GAMBETTA,PARIS,75020,Appartement,360000,8182,2,44,16/06/2023
10 RUE BELGRAND,PARIS,75020,Appartement,631200,11074,3,57,14/06/2023
13B AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,100000,2564,2,39,17/05/2023
11 AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,300300,10355,2,29,11/04/2023
4 PLACE GAMBETTA,PARIS,75020,Appartement,324000,11571,1,28,01/03/2023
243 RUE DES PYRÉNÉES,PARIS,75020,Appartement,305000,10167,2,30,22/02/2023
12 RUE DES GÂTINES,PARIS,75020,Appartement,644000,9200,3,70,09/02/2023
13 AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,299300,8089,2,37,07/02/2023
85B AVENUE GAMBETTA,PARIS,75020,Appartement,605000,10083,3,60,02/02/2023
202 RUE DES PYRÉNÉES,PARIS,75020,Appartement,246000,10250,2,24,01/02/2023
11 RUE DU CHER,PARIS,75020,Appartement,300000,7143,2,42,25/01/2023
3 PLACE GAMBETTA,PARIS,75020,Appartement,305300,10177,2,30,20/01/2023
71 AVENUE GAMBETTA,PARIS,75020,Appartement,554450,11089,3,50,06/01/2023
1 PLACE GAMBETTA,PARIS,75020,Appartement,54000,4500,1,12,21/12/2022
66 RUE DES RONDEAUX,PARIS,75020,Appartement,542200,11296,2,48,12/12/2022
17 RUE DES GÂTINES,PARIS,75020,Appartement,3700,69,3,54,25/11/2022
9 RUE DES GÂTINES,PARIS,75020,Appartement,1070000,8917,3,120,22/11/2022
81 AVENUE GAMBETTA,PARIS,75020,Appartement,470000,9592,3,49,17/11/2022
85 AVENUE GAMBETTA,PARIS,75020,Appartement,507200,9057,3,56,04/11/2022
212 RUE DES PYRÉNÉES,PARIS,75020,Appartement,256500,7544,2,34,17/10/2022
11 AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,530000,11522,2,46,10/10/2022
3 RUE DU CAMBODGE,PARIS,75020,Appartement,514285,8571,3,60,30/09/2022
9 AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,560000,10769,3,52,08/09/2022
237 RUE DES PYRÉNÉES,PARIS,75020,Appartement,372000,12000,2,31,08/09/2022
7 PLACE GAMBETTA,PARIS,75020,Appartement,390000,10541,2,37,08/09/2022
65 AVENUE GAMBETTA,PARIS,75020,Appartement,895000,9624,5,93,31/08/2022
28 AVENUE GAMBETTA,PARIS,75020,Appartement,475000,10795,3,44,30/08/2022
11 RUE DU CHER,PARIS,75020,Appartement,350000,9211,2,38,05/08/2022
30 AVENUE GAMBETTA,PARIS,75020,Appartement,240000,11429,1,21,19/07/2022
65 AVENUE GAMBETTA,PARIS,75020,Appartement,724919,9061,4,80,18/07/2022
12 RUE DES GÂTINES,PARIS,75020,Appartement,710000,11833,3,60,12/07/2022
11 AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,322315,9767,2,33,28/06/2022
30 AVENUE GAMBETTA,PARIS,75020,Appartement,301304,10761,2,28,10/06/2022
65 AVENUE GAMBETTA,PARIS,75020,Appartement,259000,10360,2,25,01/06/2022
2 PLACE GAMBETTA,PARIS,75020,Appartement,190000,7037,2,27,20/05/2022
9 RUE DU CHER,PARIS,75020,Appartement,357000,9917,2,36,15/04/2022
10 RUE BELGRAND,PARIS,75020,Appartement,669000,11150,3,60,05/04/2022
11 RUE DES GÂTINES,PARIS,75020,Appartement,574450,10638,3,54,01/04/2022
4 PLACE GAMBETTA,PARIS,75020,Appartement,415000,10921,2,38,22/03/2022
65 AVENUE GAMBETTA,PARIS,75020,Appartement,735000,12049,2,61,17/03/2022
74 RUE DES RONDEAUX,PARIS,75020,Appartement,1000,11,3,92,15/03/2022
11 RUE DU CHER,PARIS,75020,Appartement,300000,7895,2,38,01/03/2022
28 AVENUE GAMBETTA,PARIS,75020,Appartement,555000,12614,3,44,28/02/2022
3 PLACE GAMBETTA,PARIS,75020,Appartement,434000,13152,2,33,18/02/2022
4 RUE BELGRAND,PARIS,75020,Appartement,420410,9555,3,44,11/02/2022
10 AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,405000,7941,3,51,11/02/2022
28 AVENUE GAMBETTA,PARIS,75020,Appartement,495700,11266,3,44,31/01/2022
1 RUE DES GÂTINES,PARIS,75020,Appartement,355200,11840,2,30,19/01/2022
28 AVENUE GAMBETTA,PARIS,75020,Appartement,161000,10733,1,15,06/01/2022
200 RUE DES PYRÉNÉES,PARIS,75020,Appartement,329300,11355,2,29,29/11/2021
21 RUE MALTE BRUN,PARIS,75020,Appartement,320000,9143,2,35,26/11/2021
239 RUE DES PYRÉNÉES,PARIS,75020,Appartement,370000,10278,3,36,10/11/2021
200 RUE DES PYRÉNÉES,PARIS,75020,Appartement,530000,9636,3,55,08/11/2021
8B RUE BELGRAND,PARIS,75020,Appartement,575000,11058,3,52,27/10/2021
21 RUE MALTE BRUN,PARIS,75020,Appartement,352820,11026,2,32,21/10/2021
17 RUE DES GÂTINES,PARIS,75020,Appartement,444800,10109,3,44,15/10/2021
65 AVENUE GAMBETTA,PARIS,75020,Appartement,730000,10429,3,70,13/10/2021
247 RUE DES PYRÉNÉES,PARIS,75020,Appartement,290000,9667,2,30,05/10/2021
65 AVENUE GAMBETTA,PARIS,75020,Appartement,748250,11337,3,66,04/10/2021
4 PLACE GAMBETTA,PARIS,75020,Appartement,410000,10789,2,38,30/09/2021
11 RUE DU CHER,PARIS,75020,Appartement,410000,9111,3,45,28/09/2021
200 RUE DES PYRÉNÉES,PARIS,75020,Appartement,510000,10200,3,50,28/09/2021
4 PLACE GAMBETTA,PARIS,75020,Appartement,629500,11044,3,57,07/09/2021
200 RUE DES PYRÉNÉES,PARIS,75020,Appartement,407000,11971,2,34,03/09/2021
13 AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,470000,8704,3,54,27/08/2021
28 AVENUE GAMBETTA,PARIS,75020,Appartement,330000,8250,2,40,05/08/2021
6 RUE DU CHER,PARIS,75020,Appartement,1,0,3,52,02/08/2021
6 RUE DU CHER,PARIS,75020,Appartement,595000,11442,3,52,02/08/2021
11 RUE DES GÂTINES,PARIS,75020,Appartement,597000,11056,3,54,28/07/2021
17 RUE DES GÂTINES,PARIS,75020,Appartement,452550,10524,3,43,21/07/2021
11 AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,302500,9758,2,31,19/07/2021
71 AVENUE GAMBETTA,PARIS,75020,Appartement,132000,6600,1,20,16/07/2021
5 RUE MALTE BRUN,PARIS,75020,Appartement,596000,9613,3,62,06/07/2021
239 RUE DES PYRÉNÉES,PARIS,75020,Appartement,442520,10291,2,43,02/07/2021
245 RUE DES PYRÉNÉES,PARIS,75020,Appartement,95250,2117,2,45,28/06/2021
85B AVENUE GAMBETTA,PARIS,75020,Appartement,975000,10484,5,93,25/06/2021
5 RUE MALTE BRUN,PARIS,75020,Appartement,261000,9667,1,27,18/06/2021
3 RUE DU CAMBODGE,PARIS,75020,Appartement,540000,9643,2,56,07/06/2021
200 RUE DES PYRÉNÉES,PARIS,75020,Appartement,682800,11380,3,60,02/06/2021
38 AVENUE GAMBETTA,PARIS,75020,Appartement,470000,9592,3,49,01/06/2021
28 AVENUE GAMBETTA,PARIS,75020,Appartement,205000,10789,1,19,28/05/2021
79 AVENUE GAMBETTA,PARIS,75020,Appartement,500000,8621,3,58,19/05/2021
11 AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,336000,10839,2,31,26/04/2021
3 PLACE GAMBETTA,PARIS,75020,Appartement,442000,8840,3,50,21/04/2021
3 RUE DU CHER,PARIS,75020,Appartement,478000,11659,2,41,06/04/2021
13 AVENUE DU PÈRE LACHAISE,PARIS,75020,Appartement,359500,16341,2,22,25/02/2021
66 RUE DES RONDEAUX,PARIS,75020,Appartement,810000,11250,3,72,17/02/2021
28 AVENUE GAMBETTA,PARIS,75020,Appartement,417700,10442,2,40,12/02/2021
